t (s),V (mV)
0,15.672
1.005,15.628
2.004,15.6119
3.004,15.5718
4.005,15.5301
5.004,15.4722
6.005,15.4154
7.005,15.3854
8.004,15.3388
9.004,15.3229
10.005,15.3001
11.004,15.2593
12.005,15.2212
13.005,15.1814
14.004,15.1355
15.005,15.095
16.004,15.0575
17.005,15.0183
18.004,14.9767
19.004,14.9468
20.005,14.9068
21.004,14.8667
22.004,14.8009
23.005,14.7616
24.004,14.7238
25.005,14.6774
26.004,14.6371
27.005,14.5932
28.005,14.582
29.004,14.5169
30.005,14.4871
31.004,14.4785
32.005,14.4356
33.005,14.4021
34.004,14.3619
35.005,14.3314
36.004,14.2943
37.005,14.2482
38.005,14.216
39.004,14.1802
40.004,14.1511
41.005,14.12
42.005,14.0816
43.004,14.0511
44.004,14.0157
45.004,13.9795
46.004,13.9499
47.005,13.9124
48.005,13.878
49.005,13.8445
50.005,13.8089
51.004,13.7629
52.005,13.7326
53.005,13.6995
54.005,13.6675
55.004,13.6209
56.005,13.5918
57.004,13.5599
58.005,13.5233
59.005,13.4843
60.004,13.4596
61.005,13.4259
62.004,13.3865
63.005,13.3607
64.005,13.3231
65.004,13.2784
66.005,13.2555
67.005,13.2237
68.004,13.1827
69.005,13.1412
70.005,13.1171
71.005,13.079
72.004,13.0474
73.005,13.0019
74.004,12.9778
75.005,12.9497
76.004,12.9174
77.004,12.8819
78.005,12.8502
79.005,12.8224
80.005,12.7832
81.004,12.756
82.004,12.7256
83.004,12.6937
84.004,12.6581
85.004,12.6281
86.004,12.6007
87.005,12.5635
88.005,12.5356
89.005,12.5004
90.005,12.467
91.005,12.4426
92.005,12.4099
93.005,12.3791
94.005,12.3461
95.005,12.3217
96.005,12.2889
97.004,12.2557
98.004,12.2282
99.004,12.1982
100.005,12.1606
101.005,12.1285
102.005,12.105
103.004,12.0725
104.004,12.0497
105.004,12.0181
106.005,11.9789
107.005,11.9605
108.005,11.9272
109.004,11.8985
110.005,11.8409
111.005,11.814
112.005,11.7778
113.005,11.7468
114.004,11.7179
115.004,11.6938
116.005,11.6621
117.005,11.6313
118.005,11.5999
119.005,11.5714
120.004,11.5536
121.004,11.5184
122.004,11.4826
123.005,11.4635
124.005,11.4307
125.005,11.404
126.005,11.3795
127.004,11.3503
128.005,11.3243
129.005,11.299
130.005,11.2741
131.004,11.2408
132.005,11.2128
133.004,11.1858
134.005,11.1825
135.005,11.1436
136.005,11.1098
137.005,11.0778
138.005,11.0516
139.005,11.022
140.005,10.9973
141.005,10.9727
142.005,10.9478
143.005,10.9238
144.005,10.8981
145.005,10.8716
146.005,10.8449
147.005,10.8183
148.005,10.7934
149.005,10.765
150.005,10.7421
151.004,10.715
152.005,10.6875
153.005,10.661
154.004,10.6332
155.005,10.6127
156.003,10.5845
157.003,10.5622
158.004,10.5306
159.004,10.5044
160.003,10.4788
161.004,10.459
162.003,10.4371
163.004,10.4055
164.004,10.3796
165.004,10.3646
166.003,10.3342
167.003,10.31
168.003,10.2824
169.003,10.2533
170.003,10.2345
171.004,10.2098
172.004,10.192
173.004,10.1635
174.004,10.1416
175.004,10.1141
176.003,10.0896
177.003,10.0688
178.004,10.0439
179.003,10.0228
180.004,9.9974
181.004,9.9719
182.004,9.977
183.004,9.9546
184.004,9.9293
185.005,9.9089
186.004,9.8818
187.004,9.8547
188.004,9.8337
189.004,9.808
190.005,9.7875
191.005,9.7641
192.005,9.7421
193.005,9.7175
194.004,9.7022
195.004,9.6782
196.004,9.6553
197.004,9.6339
198.004,9.604
199.005,9.5856
200.005,9.5618
201.004,9.5433
202.004,9.5208
203.004,9.4974
204.004,9.4813
205.004,9.456
206.005,9.429
207.005,9.4107
208.004,9.3898
209.005,9.362
210.004,9.344
211.005,9.3285
212.005,9.3074
213.005,9.2774
214.004,9.2538
215.004,9.2372
216.004,9.2138
217.004,9.1857
218.005,9.1752
219.005,9.1494
220.005,9.1274
221.004,9.1079
222.004,9.0833
223.004,9.064
224.005,9.0398
225.005,9.0162
226.005,9.0006
227.004,8.9801
228.004,8.95
229.004,8.9328
230.005,8.9072
231.005,8.8873
232.005,8.84
233.005,8.8191
234.004,8.8078
235.004,8.8056
236.004,8.7845
237.004,8.759
238.004,8.7176
239.005,8.7008
240.005,8.7094
241.004,8.6871
242.005,8.6644
243.005,8.6504
244.005,8.6327
245.005,8.5844
246.004,8.5947
247.004,8.545
248.004,8.5551
249.005,8.5282
250.005,8.5047
