t (s),V (mV)
0,14.6802
0.969,14.6531
1.9,14.6178
2.862,14.5905
3.862,14.5532
4.862,14.5286
5.862,14.4892
6.863,14.4594
7.862,14.4378
8.863,14.3896
9.863,14.3711
10.863,14.3407
11.863,14.3144
12.863,14.2767
13.863,14.2405
14.863,14.2168
15.863,14.1807
16.862,14.1536
17.862,14.1193
18.863,14.0902
19.862,14.0618
20.863,14.0381
21.863,14.0056
22.862,13.9689
23.863,13.9455
24.862,13.8907
25.862,13.8866
26.863,13.8583
27.863,13.8313
28.862,13.8067
29.863,13.7687
30.863,13.7364
31.862,13.7127
32.863,13.6852
33.863,13.6536
34.862,13.6354
35.864,13.6091
36.863,13.5787
37.863,13.5589
38.863,13.5197
39.863,13.4873
40.863,13.4539
41.863,13.4249
42.862,13.3922
43.862,13.3598
44.862,13.3233
45.862,13.2973
46.863,13.2655
47.863,13.2506
48.863,13.2173
49.862,13.1903
50.862,13.1311
51.863,13.1019
52.863,13.0998
53.864,13.0617
54.863,13.0449
55.863,13.0191
56.863,12.9891
57.862,12.9642
58.862,12.9358
59.862,12.904
60.863,12.8749
61.863,12.8537
62.862,12.8159
63.862,12.7945
64.863,12.7716
65.863,12.7399
66.863,12.7053
67.862,12.6735
68.863,12.6637
69.862,12.615
70.863,12.5982
71.868,12.5631
72.863,12.5408
73.863,12.5157
74.862,12.4877
75.862,12.4653
76.862,12.4408
77.863,12.4102
78.862,12.4079
79.863,12.3687
80.862,12.3471
81.863,12.3162
82.863,12.292
83.863,12.2704
84.863,12.2445
85.862,12.2235
86.863,12.1968
87.862,12.1698
88.862,12.1482
89.863,12.1168
90.862,12.0947
91.862,12.0985
92.862,12.0718
93.862,12.0464
94.862,12.0229
95.862,12.0011
96.863,11.9765
97.863,11.9599
98.862,11.9283
99.862,11.9127
100.862,11.8872
101.868,11.862
102.863,11.8245
103.863,11.8157
104.862,11.7945
105.863,11.7706
106.863,11.7472
107.863,11.7234
108.863,11.6987
109.863,11.6681
110.862,11.648
111.862,11.6193
112.863,11.6028
113.862,11.5851
114.863,11.5571
115.863,11.5388
116.863,11.5171
117.862,11.4885
118.863,11.4664
119.862,11.4505
120.863,11.4247
121.863,11.3979
122.862,11.3805
123.863,11.3584
124.862,11.336
125.863,11.3144
126.862,11.2944
127.863,11.273
128.862,11.2377
129.863,11.2291
130.862,11.2099
131.865,11.1859
132.863,11.1601
133.862,11.1424
134.863,11.117
135.862,11.0992
136.863,11.0732
137.863,11.0549
138.863,11.0398
139.862,10.9953
140.862,10.995
141.862,10.9738
142.862,10.9518
143.862,10.9298
144.862,10.9061
145.863,10.8776
146.863,10.8603
147.862,10.8342
148.863,10.8078
149.863,10.7851
150.863,10.7704
151.863,10.744
152.863,10.7207
153.862,10.698
154.862,10.6769
155.864,10.6589
156.862,10.6422
157.862,10.6225
158.862,10.5904
159.862,10.5559
160.861,10.5522
161.862,10.5343
162.862,10.5112
163.862,10.4679
164.861,10.4461
165.862,10.4389
166.862,10.4287
167.861,10.3953
168.862,10.3585
169.862,10.3663
170.861,10.339
171.861,10.3205
172.862,10.305
173.861,10.2765
174.862,10.2644
175.861,10.25
176.862,10.2317
177.862,10.204
178.861,10.1877
179.862,10.1717
180.861,10.1567
181.862,10.1372
182.861,10.122
183.862,10.0991
184.862,10.0836
185.861,10.0591
186.862,10.0277
187.861,10.0171
188.862,9.9982
189.863,9.9789
190.862,9.9631
191.863,9.9449
192.863,9.9258
193.863,9.9023
194.862,9.8796
195.863,9.8672
196.863,9.8352
197.862,9.8328
198.863,9.8113
199.863,9.7899
200.862,9.7773
201.862,9.7549
202.862,9.7357
203.867,9.7145
204.863,9.7049
205.862,9.686
206.863,9.6646
207.862,9.6428
208.862,9.6224
209.863,9.608
210.863,9.5854
211.862,9.576
212.862,9.5549
213.863,9.5342
214.863,9.5162
215.863,9.5011
216.863,9.4701
217.862,9.4499
218.863,9.4391
219.863,9.4197
220.862,9.3868
221.863,9.3531
222.863,9.3388
223.862,9.334
224.863,9.3093
225.863,9.2853
226.863,9.2694
227.867,9.252
228.863,9.244
229.863,9.2459
230.863,9.231
231.862,9.1946
232.863,9.1908
233.862,9.1699
234.863,9.1507
235.863,9.1366
236.863,9.1201
237.863,9.1008
238.862,9.082
239.862,9.0657
240.862,9.0498
241.862,9.0283
242.863,9.0152
243.863,9
244.862,8.9792
245.863,8.9643
246.863,8.9482
247.863,8.9312
248.862,8.9132
249.863,8.8956
250.863,8.8774
251.862,8.8596
252.863,8.8418
253.863,8.803
254.862,8.8047
255.863,8.7868
256.862,8.7774
257.863,8.752
258.862,8.7424
259.863,8.7114
260.863,8.6848
261.862,8.6684
262.862,8.6553
263.867,8.6442
264.863,8.6383
265.862,8.6286
266.863,8.6035
267.862,8.5712
268.862,8.5685
269.863,8.5604
