t (s),V (mV)
0,14.216
1.05,14.1904
2.099,14.1661
3.15,14.1485
4.165,14.1277
5.166,14.1135
6.165,14.0898
7.166,14.0728
8.166,14.0456
9.166,14.033
10.165,14.0105
11.166,13.9874
12.165,13.9641
13.166,13.9457
14.165,13.9261
15.166,13.897
16.165,13.8678
17.165,13.8495
18.166,13.8291
19.165,13.8463
20.166,13.8259
21.166,13.7951
22.165,13.7737
23.166,13.7597
24.165,13.737
25.166,13.7106
26.166,13.6958
27.165,13.6708
28.166,13.6547
29.165,13.632
30.17,13.6079
31.166,13.5899
32.166,13.5633
33.165,13.5388
34.166,13.5159
35.166,13.4912
36.165,13.4675
37.166,13.4429
38.166,13.4099
39.166,13.3918
40.165,13.3752
41.166,13.3584
42.166,13.3338
43.166,13.3176
44.166,13.2985
45.166,13.281
46.166,13.2623
47.165,13.2401
48.165,13.222
49.166,13.2057
50.166,13.1871
51.165,13.1659
52.165,13.1455
53.165,13.1131
54.166,13.0973
55.166,13.0728
56.166,13.0554
57.165,13.03
58.166,13.0105
59.166,12.987
60.166,12.9678
61.165,12.95
62.166,12.916
63.165,12.898
64.166,12.8941
65.165,12.8682
66.166,12.8468
67.166,12.8261
68.166,12.806
69.165,12.7842
70.166,12.7685
71.166,12.7492
72.165,12.7356
73.166,12.7307
74.166,12.7135
75.165,12.6843
76.166,12.6737
77.166,12.6541
78.167,12.6371
79.165,12.614
80.166,12.5974
81.166,12.5851
82.166,12.5652
83.166,12.5454
84.165,12.5277
85.165,12.5059
86.166,12.4955
87.165,12.4719
88.165,12.4507
89.166,12.4332
90.17,12.4174
91.166,12.3951
92.166,12.3768
93.165,12.3536
94.165,12.3423
95.166,12.3268
96.171,12.3068
97.166,12.2907
98.166,12.2687
99.166,12.2534
100.165,12.2361
101.165,12.2172
102.165,12.2017
103.165,12.1852
104.165,12.1628
105.166,12.1582
106.165,12.1283
107.166,12.117
108.165,12.1012
109.166,12.0765
110.165,12.0652
111.165,12.0386
112.166,12.0121
113.166,12.0044
114.165,11.9802
115.165,11.9534
116.166,11.941
117.165,11.9251
118.166,11.9335
119.166,11.9063
120.166,11.8939
121.166,11.8817
122.166,11.8625
123.166,11.8422
124.166,11.8256
125.166,11.8096
126.171,11.7962
127.165,11.7771
128.165,11.7528
129.166,11.7421
130.166,11.7245
131.166,11.7138
132.165,11.6909
133.165,11.6749
134.166,11.6568
135.166,11.647
136.166,11.6264
137.165,11.6113
138.165,11.592
139.166,11.5748
140.166,11.5573
141.165,11.518
142.166,11.5113
143.166,11.4946
144.166,11.4751
145.166,11.4412
146.165,11.4448
147.166,11.4508
148.166,11.4309
149.166,11.4154
150.17,11.3909
151.166,11.3859
152.166,11.3657
153.165,11.3537
154.165,11.3366
155.166,11.32
156.165,11.3032
157.166,11.2841
158.166,11.2751
159.166,11.2568
160.165,11.2376
161.166,11.2099
162.165,11.214
163.166,11.1885
164.166,11.179
165.166,11.1661
166.165,11.1457
167.166,11.1272
168.166,11.1208
169.165,11.1069
170.165,11.0802
171.166,11.056
172.166,11.0564
173.166,11.039
174.165,11.0156
175.166,11.0147
176.166,11.0013
177.165,10.9868
178.166,10.9638
179.166,10.9533
180.165,10.9369
181.166,10.9034
182.166,10.9048
183.165,10.892
184.166,10.8748
185.166,10.8624
186.166,10.8484
187.165,10.8271
188.166,10.8179
189.166,10.7958
190.166,10.7717
191.166,10.7647
192.166,10.7545
193.166,10.7437
194.166,10.7283
195.166,10.7131
196.166,10.6943
197.166,10.6771
198.166,10.6518
199.166,10.6442
200.166,10.6338
201.166,10.6178
202.165,10.6017
203.165,10.5899
204.165,10.5797
205.165,10.5647
206.164,10.5506
207.164,10.5359
208.165,10.5163
209.164,10.4891
210.164,10.4745
211.165,10.4554
212.165,10.4614
213.165,10.4481
214.164,10.4335
215.164,10.4182
216.169,10.4124
217.165,10.3918
218.165,10.383
219.164,10.3669
220.165,10.3423
221.164,10.3388
222.164,10.3031
223.164,10.2898
224.165,10.2743
225.164,10.2773
226.165,10.2634
227.165,10.2548
228.164,10.2341
229.164,10.219
230.165,10.2093
231.164,10.1923
232.164,10.1823
233.165,10.1671
234.164,10.1499
235.164,10.1405
236.165,10.1265
237.165,10.0946
238.164,10.0826
239.165,10.0701
240.165,10.0588
241.165,10.0446
242.165,10.0334
243.165,10.0197
244.164,10.002
245.165,9.9892
246.165,9.9714
247.165,9.96
248.165,9.9435
249.166,9.9343
250.166,9.9175
251.166,9.9243
252.166,9.9154
253.165,9.9013
254.165,9.8868
255.165,9.8762
256.166,9.8627
257.165,9.8419
258.166,9.8379
259.166,9.8236
260.166,9.8102
261.165,9.7857
262.165,9.77
263.166,9.7729
264.165,9.7529
265.166,9.7367
266.165,9.7293
267.166,9.7193
268.166,9.7037
269.166,9.6836
270.165,9.6722
271.166,9.6654
272.166,9.6588
273.166,9.6405
274.165,9.628
275.165,9.5959
276.166,9.5999
277.166,9.5783
278.165,9.5718
279.166,9.5574
280.166,9.5466
281.165,9.5371
282.165,9.525
283.166,9.5126
284.166,9.495
285.165,9.4829
286.166,9.4701
287.166,9.4694
