t (s),V (mV)
262.011,10.9163
263.012,10.9065
264.012,10.893
265.012,10.8833
266.011,10.8702
267.012,10.8629
268.012,10.8514
269.011,10.8407
270.012,10.8329
271.012,10.8242
272.012,10.8131
273.011,10.8023
274.012,10.7935
275.011,10.7833
276.012,10.7731
277.012,10.7639
278.011,10.756
279.012,10.7446
280.012,10.7358
281.011,10.7256
282.012,10.7304
283.012,10.7127
284.011,10.7084
285.012,10.6877
286.011,10.6812
287.012,10.6693
288.012,10.6565
289.012,10.6507
290.011,10.6385
291.011,10.6272
292.011,10.6102
293.011,10.6103
294.012,10.6036
295.011,10.5929
296.01,10.5837
297.011,10.5749
298.011,10.5559
299.01,10.5433
300.011,10.5341
301.011,10.525
302.01,10.5282
303.01,10.5052
304.01,10.5073
305.011,10.494
306.01,10.4789
307.011,10.4706
308.011,10.4723
309.01,10.4641
310.011,10.4553
311.011,10.4446
312.01,10.4348
313.011,10.4246
314.011,10.412
315.01,10.4057
316.01,10.3928
317.011,10.3888
318.01,10.3753
319.01,10.368
320.011,10.3589
321.011,10.349
322.011,10.3399
323.01,10.3267
324.011,10.323
325.01,10.3131
326.011,10.3061
327.01,10.2921
328.011,10.2875
329.01,10.2774
330.011,10.2697
331.01,10.2592
332.011,10.2509
333.011,10.2416
334.01,10.2378
335.01,10.2318
336.01,10.2214
337.011,10.2081
338.011,10.2002
339.01,10.189
340.011,10.1763
341.01,10.1624
342.011,10.1545
343.01,10.141
344.01,10.134
345.011,10.1273
346.01,10.119
347.011,10.1098
348.01,10.0999
349.01,10.0909
350.011,10.0827
351.011,10.0729
352.01,10.0657
353.011,10.0557
354.011,10.0392
355.011,10.034
356.011,10.0249
357.01,10.0155
358.01,10.0027
359.011,10.0047
360.012,9.9868
361.012,9.978
362.011,9.9696
363.011,9.9605
364.012,9.9473
365.011,9.9409
366.012,9.9301
367.012,9.9214
368.012,9.9135
369.012,9.8991
370.011,9.891
371.012,9.8775
372.011,9.8685
373.012,9.8599
374.011,9.8506
375.012,9.8395
376.011,9.8338
377.012,9.8227
378.012,9.8114
379.011,9.8036
380.012,9.7963
381.012,9.7812
382.012,9.7737
383.012,9.7646
384.012,9.7569
385.011,9.7464
386.012,9.74
387.012,9.7314
388.011,9.7218
389.012,9.7017
390.012,9.7055
391.011,9.6949
392.012,9.688
393.011,9.6818
394.012,9.6737
395.011,9.6629
396.012,9.6547
397.011,9.6472
398.011,9.6402
399.012,9.6326
400.011,9.6217
401.011,9.6158
402.012,9.6082
403.012,9.5958
404.011,9.5892
