t (s),V (mV)
0,14.1902
1.012,14.1785
2.012,14.1678
3.012,14.1545
4.011,14.1435
5.012,14.133
6.012,14.1188
7.011,14.104
8.012,14.0937
9.012,14.0796
10.012,14.0646
11.011,14.0534
12.012,14.0368
13.012,14.0178
14.011,14.0088
15.012,13.9941
16.012,13.9798
17.011,13.9638
18.012,13.9471
19.011,13.9313
20.012,13.9165
21.011,13.9036
22.011,13.8851
23.012,13.8712
24.011,13.8557
25.012,13.8422
26.011,13.8262
27.012,13.8082
28.011,13.7932
29.012,13.7797
30.011,13.7615
31.012,13.7477
32.012,13.733
33.011,13.7062
34.012,13.6989
35.011,13.6846
36.012,13.671
37.011,13.6509
38.012,13.6378
39.012,13.6229
40.012,13.6069
41.012,13.5961
42.012,13.5814
43.011,13.5666
44.012,13.5542
45.011,13.5395
46.012,13.5229
47.012,13.5047
48.011,13.487
49.012,13.47
50.012,13.4574
51.011,13.4436
52.012,13.4284
53.012,13.411
54.011,13.4007
55.011,13.377
56.012,13.3576
57.011,13.3425
58.012,13.3291
59.011,13.3198
60.012,13.3087
61.011,13.2963
62.012,13.2783
63.012,13.2634
64.012,13.2489
65.011,13.2363
66.011,13.2251
67.011,13.2054
68.012,13.1919
69.011,13.1759
70.012,13.1624
71.012,13.15
72.012,13.135
73.012,13.1319
74.012,13.1093
75.011,13.0961
76.012,13.0788
77.012,13.0702
78.011,13.0521
79.012,13.0387
80.012,13.0255
81.012,13.0117
82.012,12.9973
83.011,12.9823
84.012,12.9699
85.012,12.9579
86.012,12.9442
87.012,12.9328
88.011,12.9179
89.012,12.9007
90.012,12.8912
91.011,12.8731
92.012,12.86
93.011,12.8474
94.012,12.834
95.012,12.8216
96.012,12.8055
97.011,12.7945
98.012,12.7819
99.012,12.7679
100.011,12.758
101.012,12.7461
102.011,12.7327
103.012,12.7136
104.012,12.7018
105.011,12.6898
106.011,12.679
107.012,12.6641
108.011,12.6478
109.012,12.6354
110.011,12.6201
111.012,12.6034
112.011,12.5891
113.011,12.5822
114.012,12.568
115.012,12.5528
116.012,12.5435
117.012,12.5318
118.012,12.5184
119.012,12.5008
120.012,12.4915
121.011,12.478
122.012,12.4684
123.012,12.4519
124.012,12.4391
125.012,12.4254
126.011,12.4137
127.012,12.3974
128.012,12.3864
129.012,12.3758
130.011,12.3635
131.012,12.3445
132.011,12.3317
133.012,12.3202
134.012,12.3084
135.011,12.2968
136.012,12.2885
137.011,12.279
138.012,12.2643
139.012,12.2562
140.011,12.2451
141.012,12.2354
142.011,12.2204
143.012,12.2085
144.012,12.2009
145.011,12.1929
146.011,12.1755
147.011,12.169
148.012,12.1599
149.012,12.1469
150.011,12.1346
151.012,12.1221
152.012,12.1091
153.011,12.0991
154.012,12.0905
155.012,12.0689
156.011,12.059
157.012,12.0515
158.012,12.0415
159.012,12.0301
160.011,12.0187
161.012,12.0057
162.012,11.9924
163.011,11.9838
164.012,11.972
165.012,11.9616
166.012,11.953
167.011,11.9386
168.012,11.9272
169.012,11.9142
170.011,11.9026
171.012,11.8914
172.011,11.8795
173.012,11.8643
174.012,11.8564
175.012,11.8498
176.011,11.8374
177.012,11.8209
178.011,11.8107
179.012,11.7998
180.011,11.7867
181.012,11.7752
182.011,11.7621
183.012,11.7534
184.011,11.7415
185.012,11.7254
186.012,11.7195
187.012,11.7071
188.012,11.6952
189.011,11.6845
190.011,11.6748
191.012,11.6674
192.011,11.6543
193.011,11.6452
194.012,11.6328
195.012,11.6219
196.011,11.6117
197.012,11.5989
198.012,11.5877
199.011,11.5776
200.011,11.5569
201.012,11.5573
202.012,11.5434
203.011,11.5337
204.012,11.5234
205.012,11.5136
206.011,11.5033
207.012,11.4899
208.012,11.4798
209.012,11.4702
210.011,11.4595
211.012,11.4473
212.011,11.4368
213.012,11.428
214.012,11.4162
215.011,11.4031
216.012,11.3944
217.012,11.3834
218.011,11.3721
219.012,11.3589
220.011,11.347
221.012,11.336
222.011,11.324
223.012,11.316
224.012,11.3032
225.011,11.2933
226.011,11.2845
227.012,11.2747
228.011,11.2665
229.012,11.2538
230.012,11.2456
231.011,11.2346
232.011,11.2259
233.012,11.2134
234.011,11.2034
235.012,11.1948
236.011,11.184
237.012,11.1707
238.012,11.1618
239.011,11.1526
240.011,11.1436
241.012,11.1322
242.012,11.1231
243.012,11.1113
244.011,11.1041
245.011,11.0932
246.011,11.0834
247.012,11.0747
248.012,11.0662
249.012,11.0539
250.011,11.0463
251.012,11.0339
252.012,11.0224
253.012,11.0121
254.012,11.0008
255.012,10.9896
256.011,10.9816
257.012,10.9689
258.012,10.9593
259.012,10.9498
260.012,10.9369
261.011,10.9269
