t (s),V (mV)
0,14.0672
0.97,14.0675
1.902,14.0464
2.865,14.0345
3.835,14.0638
4.835,14.0505
5.834,14.0121
6.834,13.9593
7.835,13.9735
8.835,13.9319
9.834,13.8736
10.835,13.8156
11.834,13.7501
12.835,13.6876
13.835,13.6306
14.834,13.565
15.835,13.4991
16.834,13.4282
17.835,13.3691
18.835,13.2937
19.835,13.2343
20.834,13.1711
21.835,13.1092
22.835,13.0465
23.834,12.9795
24.835,12.9226
25.834,12.8619
26.835,12.7955
27.835,12.7297
28.835,12.6729
29.834,12.6058
30.835,12.5496
31.834,12.4911
32.834,12.4341
33.835,12.3676
34.834,12.3082
35.835,12.2555
36.835,12.1954
37.835,12.1364
38.835,12.0791
39.835,12.0204
40.834,11.9646
41.835,11.9101
42.834,11.8395
43.835,11.7866
44.835,11.729
45.834,11.6766
46.835,11.617
47.835,11.5783
48.834,11.5287
49.834,11.4732
50.835,11.4142
51.835,11.3601
52.835,11.3011
53.835,11.2374
54.835,11.183
55.834,11.1293
56.835,11.0759
57.835,11.0218
58.835,10.976
59.835,10.9287
60.835,10.8658
61.834,10.8162
62.835,10.7625
63.834,10.7144
64.834,10.6578
65.834,10.605
66.834,10.5519
67.834,10.5059
68.833,10.4486
69.834,10.4075
70.833,10.3643
71.834,10.299
72.833,10.2484
73.833,10.1997
74.834,10.1459
75.833,10.1054
76.833,10.0659
77.833,10.0164
78.834,9.9662
79.835,9.9114
80.835,9.8677
81.834,9.8197
82.835,9.771
83.835,9.7227
84.834,9.679
85.835,9.634
86.835,9.5893
87.834,9.5386
88.835,9.4976
89.835,9.4531
90.835,9.4049
91.834,9.3621
92.835,9.3164
93.834,9.2734
94.834,9.2265
95.835,9.1803
96.835,9.1467
97.835,9.096
98.834,9.036
99.835,9.0137
100.834,8.9629
101.835,8.9173
102.835,8.8646
103.834,8.8263
104.834,8.802
105.834,8.7511
106.834,8.691
107.835,8.6505
108.834,8.5984
109.835,8.5573
110.834,8.4984
111.834,8.4669
112.834,8.4237
113.835,8.3834
114.835,8.332
115.834,8.2978
116.835,8.2498
117.835,8.2341
118.835,8.187
119.835,8.1515
120.835,8.1071
121.835,8.0635
122.834,8.0233
123.835,7.9885
124.834,7.9492
